time;location;status
669;AZURE-CLOUD;1
671;AZURE-CLOUD;1
674;AZURE-CLOUD;1
676;AZURE-CLOUD;1
679;AZURE-CLOUD;1
681;AZURE-CLOUD;1
684;AZURE-CLOUD;1
686;AZURE-CLOUD;1
689;AZURE-CLOUD;1
691;AZURE-CLOUD;1
694;AZURE-CLOUD;1
696;AZURE-CLOUD;1
699;AZURE-CLOUD;1
701;AZURE-CLOUD;1
704;AZURE-CLOUD;1
706;AZURE-CLOUD;1
709;AZURE-CLOUD;1
711;AZURE-CLOUD;1
714;AZURE-CLOUD;1
716;AZURE-CLOUD;1
719;AZURE-CLOUD;1
721;AZURE-CLOUD;1
724;AZURE-CLOUD;1
726;AZURE-CLOUD;1
729;AZURE-CLOUD;1
731;AZURE-CLOUD;1
734;AZURE-CLOUD;1
736;AZURE-CLOUD;1
739;AZURE-CLOUD;1
741;AZURE-CLOUD;1
744;AZURE-CLOUD;1
746;AZURE-CLOUD;1
749;AZURE-CLOUD;1
752;AZURE-CLOUD;1
754;AZURE-CLOUD;1
757;AZURE-CLOUD;1
759;AZURE-CLOUD;1
